Message Name,Field Def #,Field Name,Field Type,Array,Components,Scale,Offset,Units,Bits,Accumulate,Ref Field Name,Ref Field Value,Comment,Products:,EXAMPLE
,117,avg_left_power_phase_peak,uint8,[N],,0.7111111,,degrees,,,,,Average left power phase peak angles. Data value indexes defined by power_phase_type.,,
,118,avg_right_power_phase,uint8,[N],,0.7111111,,degrees,,,,,Average right power phase angles. Data value indexes defined by power_phase_type.,,
,119,avg_right_power_phase_peak,uint8,[N],,0.7111111,,degrees,,,,,Average right power phase peak angles data value indexes defined by power_phase_type.,,
,120,avg_power_position,uint16,[N],,,,watts,,,,,Average power by position. Data value indexes defined by rider_position_type.,,
,121,max_power_position,uint16,[N],,,,watts,,,,,Maximum power by position. Data value indexes defined by rider_position_type.,,
,122,avg_cadence_position,uint8,[N],,,,rpm,,,,,Average cadence by position. Data value indexes defined by rider_position_type.,,
,123,max_cadence_position,uint8,[N],,,,rpm,,,,,Maximum cadence by position. Data value indexes defined by rider_position_type.,,
,124,enhanced_avg_speed,uint32,,,1000,,m/s,,,,,total_distance / total_timer_time,,1
,125,enhanced_max_speed,uint32,,,1000,,m/s,,,,,,,1
,126,enhanced_avg_altitude,uint32,,,5,500,m,,,,,,,1
,127,enhanced_min_altitude,uint32,,,5,500,m,,,,,,,1
,128,enhanced_max_altitude,uint32,,,5,500,m,,,,,,,1
,129,avg_lev_motor_power,uint16,,,,,watts,,,,,lev average motor power during session,,
,130,max_lev_motor_power,uint16,,,,,watts,,,,,lev maximum motor power during session,,
,131,lev_battery_consumption,uint8,,,2,,percent,,,,,lev battery consumption during session,,
,132,avg_vertical_ratio,uint16,,,100,,percent,,,,,,,
,133,avg_stance_time_balance,uint16,,,100,,percent,,,,,,,
,134,avg_step_length,uint16,,,10,,mm,,,,,,,
,137,total_anaerobic_training_effect,uint8,,,10,,,,,,,,,1
,139,avg_vam,uint16,,,1000,,m/s,16,,,,,,1
,147,avg_respiration_rate,uint8,,enhanced_avg_respiration_rate,,,,8,,,,,,
,148,max_respiration_rate,uint8,,enhanced_max_respiration_rate,,,,8,,,,,,
,149,min_respiration_rate,uint8,,enhanced_min_respiration_rate,,,,8,,,,,,
,168,training_load_peak,sint32,,,65536,,,,,,,,,
,169,enhanced_avg_respiration_rate,uint16,,,100,,Breaths/min,,,,,,,
,170,enhanced_max_respiration_rate,uint16,,,100,,Breaths/min,,,,,,,
,180,enhanced_min_respiration_rate,uint16,,,100,,,,,,,,,
,181,total_grit,float32,,,,,kGrit,,,,,The grit score estimates how challenging a route could be for a cyclist in terms of time spent going over sharp turns or large grade slopes.,,
,182,total_flow,float32,,,,,Flow,,,,,The flow score estimates how long distance wise a cyclist deaccelerates over intervals where deacceleration is unnecessary such as smooth turns or small grade angle intervals.,,
,183,jump_count,uint16,,,,,,,,,,,,
,186,avg_grit,float32,,,,,kGrit,,,,,The grit score estimates how challenging a route could be for a cyclist in terms of time spent going over sharp turns or large grade slopes.,,
,187,avg_flow,float32,,,,,Flow,,,,,The flow score estimates how long distance wise a cyclist deaccelerates over intervals where deacceleration is unnecessary such as smooth turns or small grade angle intervals.,,
,199,total_fractional_ascent,uint8,,,100,,m,,,,,fractional part of total_ascent,,
,200,total_fractional_descent,uint8,,,100,,m,,,,,fractional part of total_descent,,
,208,avg_core_temperature,uint16,,,100,,C,,,,,,,
,209,min_core_temperature,uint16,,,100,,C,,,,,,,
,210,max_core_temperature,uint16,,,100,,C,,,,,,,
lap,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,253,timestamp,date_time,,,,,s,,,,,Lap end time.,,1
,0,event,event,,,,,,,,,,,,1
,1,event_type,event_type,,,,,,,,,,,,1
,2,start_time,date_time,,,,,,,,,,,,1
,3,start_position_lat,sint32,,,,,semicircles,,,,,,,1
,4,start_position_long,sint32,,,,,semicircles,,,,,,,1
,5,end_position_lat,sint32,,,,,semicircles,,,,,,,1
,6,end_position_long,sint32,,,,,semicircles,,,,,,,1
,7,total_elapsed_time,uint32,,,1000,,s,,,,,Time (includes pauses),,1
,8,total_timer_time,uint32,,,1000,,s,,,,,Timer Time (excludes pauses),,1
,9,total_distance,uint32,,,100,,m,,,,,,,1
,10,total_cycles,uint32,,,,,cycles,,,,,,,1
,,total_strides,uint32,,,,,strides,,,"sport,sport","running,walking",,,1
,,total_strokes,uint32,,,,,strokes,,,"sport,sport,sport,sport","cycling,swimming,rowing,stand_up_paddleboarding",,,1
,11,total_calories,uint16,,,,,kcal,,,,,,,1
,12,total_fat_calories,uint16,,,,,kcal,,,,,If New Leaf,,1
,13,avg_speed,uint16,,enhanced_avg_speed,1000,,m/s,16,,,,,,1
,14,max_speed,uint16,,enhanced_max_speed,1000,,m/s,16,,,,,,1
,15,avg_heart_rate,uint8,,,,,bpm,,,,,,,1
,16,max_heart_rate,uint8,,,,,bpm,,,,,,,1
,17,avg_cadence,uint8,,,,,rpm,,,,,total_cycles / total_timer_time if non_zero_avg_cadence otherwise total_cycles / total_elapsed_time,,1
,,avg_running_cadence,uint8,,,,,strides/min,,,sport,running,,,1
,18,max_cadence,uint8,,,,,rpm,,,,,,,1
,,max_running_cadence,uint8,,,,,strides/min,,,sport,running,,,1
,19,avg_power,uint16,,,,,watts,,,,,total_power / total_timer_time if non_zero_avg_power otherwise total_power / total_elapsed_time,,1
,20,max_power,uint16,,,,,watts,,,,,,,1
,21,total_ascent,uint16,,,,,m,,,,,,,1
,22,total_descent,uint16,,,,,m,,,,,,,1
,23,intensity,intensity,,,,,,,,,,,,1
,24,lap_trigger,lap_trigger,,,,,,,,,,,,1
,25,sport,sport,,,,,,,,,,,,1
,26,event_group,uint8,,,,,,,,,,,,1
,32,num_lengths,uint16,,,,,lengths,,,,,# of lengths of swim pool,,1
,33,normalized_power,uint16,,,,,watts,,,,,,,1
,34,left_right_balance,left_right_balance_100,,,,,,,,,,,,1
,35,first_length_index,uint16,,,,,,,,,,,,1
,37,avg_stroke_distance,uint16,,,100,,m,,,,,,,1
,38,swim_stroke,swim_stroke,,,,,,,,,,,,1
,39,sub_sport,sub_sport,,,,,,,,,,,,1
,40,num_active_lengths,uint16,,,,,lengths,,,,,# of active lengths of swim pool,,1
,41,total_work,uint32,,,,,J,,,,,,,1
,42,avg_altitude,uint16,,enhanced_avg_altitude,5,500,m,16,,,,,,1
,43,max_altitude,uint16,,enhanced_max_altitude,5,500,m,16,,,,,,1
,44,gps_accuracy,uint8,,,,,m,,,,,,,1
,45,avg_grade,sint16,,,100,,%,,,,,,,1
,46,avg_pos_grade,sint16,,,100,,%,,,,,,,1
,47,avg_neg_grade,sint16,,,100,,%,,,,,,,1
,48,max_pos_grade,sint16,,,100,,%,,,,,,,1
,49,max_neg_grade,sint16,,,100,,%,,,,,,,1
,50,avg_temperature,sint8,,,,,C,,,,,,,1
,51,max_temperature,sint8,,,,,C,,,,,,,1
,52,total_moving_time,uint32,,,1000,,s,,,,,,,1
,53,avg_pos_vertical_speed,sint16,,,1000,,m/s,,,,,,,1
,54,avg_neg_vertical_speed,sint16,,,1000,,m/s,,,,,,,1
,55,max_pos_vertical_speed,sint16,,,1000,,m/s,,,,,,,1
,56,max_neg_vertical_speed,sint16,,,1000,,m/s,,,,,,,1
,57,time_in_hr_zone,uint32,[N],,1000,,s,,,,,,,1
,58,time_in_speed_zone,uint32,[N],,1000,,s,,,,,,,1
,59,time_in_cadence_zone,uint32,[N],,1000,,s,,,,,,,1
,60,time_in_power_zone,uint32,[N],,1000,,s,,,,,,,1
,61,repetition_num,uint16,,,,,,,,,,,,1
,62,min_altitude,uint16,,enhanced_min_altitude,5,500,m,16,,,,,,1
,63,min_heart_rate,uint8,,,,,bpm,,,,,,,1
,71,wkt_step_index,message_index,,,,,,,,,,,,1
,74,opponent_score,uint16,,,,,,,,,,,,1
,75,stroke_count,uint16,[N],,,,counts,,,,,stroke_type enum used as the index,,1
,76,zone_count,uint16,[N],,,,counts,,,,,zone number used as the index,,1
,77,avg_vertical_oscillation,uint16,,,10,,mm,,,,,,,1
,78,avg_stance_time_percent,uint16,,,100,,percent,,,,,,,1
,79,avg_stance_time,uint16,,,10,,ms,,,,,,,1
,80,avg_fractional_cadence,uint8,,,128,,rpm,,,,,fractional part of the avg_cadence,,1
,81,max_fractional_cadence,uint8,,,128,,rpm,,,,,fractional part of the max_cadence,,1
,82,total_fractional_cycles,uint8,,,128,,cycles,,,,,fractional part of the total_cycles,,1
,83,player_score,uint16,,,,,,,,,,,,1
,84,avg_total_hemoglobin_conc,uint16,[N],,100,,g/dL,,,,,Avg saturated and unsaturated hemoglobin,,1
,85,min_total_hemoglobin_conc,uint16,[N],,100,,g/dL,,,,,Min saturated and unsaturated hemoglobin,,1
,86,max_total_hemoglobin_conc,uint16,[N],,100,,g/dL,,,,,Max saturated and unsaturated hemoglobin,,1
,87,avg_saturated_hemoglobin_percent,uint16,[N],,10,,%,,,,,Avg percentage of hemoglobin saturated with oxygen,,1
,88,min_saturated_hemoglobin_percent,uint16,[N],,10,,%,,,,,Min percentage of hemoglobin saturated with oxygen,,1
,89,max_saturated_hemoglobin_percent,uint16,[N],,10,,%,,,,,Max percentage of hemoglobin saturated with oxygen,,1
,91,avg_left_torque_effectiveness,uint8,,,2,,percent,,,,,,,
,92,avg_right_torque_effectiveness,uint8,,,2,,percent,,,,,,,
,93,avg_left_pedal_smoothness,uint8,,,2,,percent,,,,,,,
,94,avg_right_pedal_smoothness,uint8,,,2,,percent,,,,,,,
,95,avg_combined_pedal_smoothness,uint8,,,2,,percent,,,,,,,
,98,time_standing,uint32,,,1000,,s,,,,,Total time spent in the standing position,,
,99,stand_count,uint16,,,,,,,,,,Number of transitions to the standing state,,
,100,avg_left_pco,sint8,,,,,mm,,,,,Average left platform center offset,,
,101,avg_right_pco,sint8,,,,,mm,,,,,Average right platform center offset,,
,102,avg_left_power_phase,uint8,[N],,0.7111111,,degrees,,,,,Average left power phase angles. Data value indexes defined by power_phase_type.,,
,103,avg_left_power_phase_peak,uint8,[N],,0.7111111,,degrees,,,,,Average left power phase peak angles. Data value indexes defined by power_phase_type.,,
,104,avg_right_power_phase,uint8,[N],,0.7111111,,degrees,,,,,Average right power phase angles. Data value indexes defined by power_phase_type.,,
,105,avg_right_power_phase_peak,uint8,[N],,0.7111111,,degrees,,,,,Average right power phase peak angles. Data value indexes defined by power_phase_type.,,
,106,avg_power_position,uint16,[N],,,,watts,,,,,Average power by position. Data value indexes defined by rider_position_type.,,
,107,max_power_position,uint16,[N],,,,watts,,,,,Maximum power by position. Data value indexes defined by rider_position_type.,,
,108,avg_cadence_position,uint8,[N],,,,rpm,,,,,Average cadence by position. Data value indexes defined by rider_position_type.,,
,109,max_cadence_position,uint8,[N],,,,rpm,,,,,Maximum cadence by position. Data value indexes defined by rider_position_type.,,
,110,enhanced_avg_speed,uint32,,,1000,,m/s,,,,,,,1
,111,enhanced_max_speed,uint32,,,1000,,m/s,,,,,,,1
,112,enhanced_avg_altitude,uint32,,,5,500,m,,,,,,,1
,113,enhanced_min_altitude,uint32,,,5,500,m,,,,,,,1
,114,enhanced_max_altitude,uint32,,,5,500,m,,,,,,,1
,115,avg_lev_motor_power,uint16,,,,,watts,,,,,lev average motor power during lap,,
,116,max_lev_motor_power,uint16,,,,,watts,,,,,lev maximum motor power during lap,,
,117,lev_battery_consumption,uint8,,,2,,percent,,,,,lev battery consumption during lap,,
,118,avg_vertical_ratio,uint16,,,100,,percent,,,,,,,
,119,avg_stance_time_balance,uint16,,,100,,percent,,,,,,,
,120,avg_step_length,uint16,,,10,,mm,,,,,,,
,121,avg_vam,uint16,,,1000,,m/s,16,,,,,,1
,136,enhanced_avg_respiration_rate,uint16,,,100,,Breaths/min,,,,,,,
,137,enhanced_max_respiration_rate,uint16,,,100,,Breaths/min,,,,,,,
,147,avg_respiration_rate,uint8,,enhanced_avg_respiration_rate,,,,8,,,,,,
,148,max_respiration_rate,uint8,,enhanced_max_respiration_rate,,,,8,,,,,,
,149,total_grit,float32,,,,,kGrit,,,,,The grit score estimates how challenging a route could be for a cyclist in terms of time spent going over sharp turns or large grade slopes.,,
,150,total_flow,float32,,,,,Flow,,,,,The flow score estimates how long distance wise a cyclist deaccelerates over intervals where deacceleration is unnecessary such as smooth turns or small grade angle intervals.,,
,151,jump_count,uint16,,,,,,,,,,,,
,153,avg_grit,float32,,,,,kGrit,,,,,The grit score estimates how challenging a route could be for a cyclist in terms of time spent going over sharp turns or large grade slopes.,,
,154,avg_flow,float32,,,,,Flow,,,,,The flow score estimates how long distance wise a cyclist deaccelerates over intervals where deacceleration is unnecessary such as smooth turns or small grade angle intervals.,,
,156,total_fractional_ascent,uint8,,,100,,m,,,,,fractional part of total_ascent,,
,157,total_fractional_descent,uint8,,,100,,m,,,,,fractional part of total_descent,,
,158,avg_core_temperature,uint16,,,100,,C,,,,,,,
,159,min_core_temperature,uint16,,,100,,C,,,,,,,
,160,max_core_temperature,uint16,,,100,,C,,,,,,,
length,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,253,timestamp,date_time,,,,,,,,,,,,1
,0,event,event,,,,,,,,,,,,1
,1,event_type,event_type,,,,,,,,,,,,1
,2,start_time,date_time,,,,,,,,,,,,1
,3,total_elapsed_time,uint32,,,1000,,s,,,,,,,1
,4,total_timer_time,uint32,,,1000,,s,,,,,,,1
,5,total_strokes,uint16,,,,,strokes,,,,,,,1
,6,avg_speed,uint16,,,1000,,m/s,,,,,,,1
,7,swim_stroke,swim_stroke,,,,,swim_stroke,,,,,,,1
,9,avg_swimming_cadence,uint8,,,,,strokes/min,,,,,,,1
,10,event_group,uint8,,,,,,,,,,,,1
,11,total_calories,uint16,,,,,kcal,,,,,,,1
,12,length_type,length_type,,,,,,,,,,,,1
,18,player_score,uint16,,,,,,,,,,,,1
,19,opponent_score,uint16,,,,,,,,,,,,1
,20,stroke_count,uint16,[N],,,,counts,,,,,stroke_type enum used as the index,,1
,21,zone_count,uint16,[N],,,,counts,,,,,zone number used as the index,,1
,22,enhanced_avg_respiration_rate,uint16,,,100,,Breaths/min,,,,,,,
,23,enhanced_max_respiration_rate,uint16,,,100,,Breaths/min,,,,,,,
,24,avg_respiration_rate,uint8,,enhanced_avg_respiration_rate,,,,8,,,,,,
,25,max_respiration_rate,uint8,,enhanced_max_respiration_rate,,,,8,,,,,,
record,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,s,,,,,,,1
,0,position_lat,sint32,,,,,semicircles,,,,,,,1
,1,position_long,sint32,,,,,semicircles,,,,,,,1
,2,altitude,uint16,,enhanced_altitude,5,500,m,16,,,,,,1
,3,heart_rate,uint8,,,,,bpm,,,,,,,1
,4,cadence,uint8,,,,,rpm,,,,,,,1
,5,distance,uint32,,,100,,m,,,,,,,1
,6,speed,uint16,,enhanced_speed,1000,,m/s,16,,,,,,1
,7,power,uint16,,,,,watts,,,,,,,1
,8,compressed_speed_distance,byte,[3],"speed,distance","100,16",,"m/s,m","12,12","0,1",,,,,1
,9,grade,sint16,,,100,,%,,,,,,,1
,10,resistance,uint8,,,,,,,,,,Relative. 0 is none 254 is Max.,,1
,11,time_from_course,sint32,,,1000,,s,,,,,,,1
,12,cycle_length,uint8,,,100,,m,,,,,,,1
,13,temperature,sint8,,,,,C,,,,,,,1
,17,speed_1s,uint8,[N],,16,,m/s,,,,,Speed at 1s intervals. Timestamp field indicates time of last array element.,,5
,18,cycles,uint8,,total_cycles,,,cycles,8,1,,,,,1
,19,total_cycles,uint32,,,,,cycles,,,,,,,1
,28,compressed_accumulated_power,uint16,,accumulated_power,,,watts,16,1,,,,,1
,29,accumulated_power,uint32,,,,,watts,,,,,,,1
,30,left_right_balance,left_right_balance,,,,,,,,,,,,1
,31,gps_accuracy,uint8,,,,,m,,,,,,,1
,32,vertical_speed,sint16,,,1000,,m/s,,,,,,,1
,33,calories,uint16,,,,,kcal,,,,,,,1
,39,vertical_oscillation,uint16,,,10,,mm,,,,,,,1
,40,stance_time_percent,uint16,,,100,,percent,,,,,,,1
,41,stance_time,uint16,,,10,,ms,,,,,,,1
,42,activity_type,activity_type,,,,,,,,,,,,1
,43,left_torque_effectiveness,uint8,,,2,,percent,,,,,,,1
,44,right_torque_effectiveness,uint8,,,2,,percent,,,,,,,1
,45,left_pedal_smoothness,uint8,,,2,,percent,,,,,,,1
,46,right_pedal_smoothness,uint8,,,2,,percent,,,,,,,1
,47,combined_pedal_smoothness,uint8,,,2,,percent,,,,,,,1
,48,time128,uint8,,,128,,s,,,,,,,1
,49,stroke_type,stroke_type,,,,,,,,,,,,1
,50,zone,uint8,,,,,,,,,,,,1
,51,ball_speed,uint16,,,100,,m/s,,,,,,,1
,52,cadence256,uint16,,,256,,rpm,,,,,Log cadence and fractional cadence for backwards compatability,,1
,53,fractional_cadence,uint8,,,128,,rpm,,,,,,,1
,54,total_hemoglobin_conc,uint16,,,100,,g/dL,,,,,Total saturated and unsaturated hemoglobin,,1
,55,total_hemoglobin_conc_min,uint16,,,100,,g/dL,,,,,Min saturated and unsaturated hemoglobin,,1
,56,total_hemoglobin_conc_max,uint16,,,100,,g/dL,,,,,Max saturated and unsaturated hemoglobin,,1
,57,saturated_hemoglobin_percent,uint16,,,10,,%,,,,,Percentage of hemoglobin saturated with oxygen,,1
,58,saturated_hemoglobin_percent_min,uint16,,,10,,%,,,,,Min percentage of hemoglobin saturated with oxygen,,1
,59,saturated_hemoglobin_percent_max,uint16,,,10,,%,,,,,Max percentage of hemoglobin saturated with oxygen,,1
,62,device_index,device_index,,,,,,,,,,,,1
,67,left_pco,sint8,,,,,mm,,,,,Left platform center offset,,
,68,right_pco,sint8,,,,,mm,,,,,Right platform center offset,,
,69,left_power_phase,uint8,[N],,0.7111111,,degrees,,,,,Left power phase angles. Data value indexes defined by power_phase_type.,,
,70,left_power_phase_peak,uint8,[N],,0.7111111,,degrees,,,,,Left power phase peak angles. Data value indexes defined by power_phase_type.,,
,71,right_power_phase,uint8,[N],,0.7111111,,degrees,,,,,Right power phase angles. Data value indexes defined by power_phase_type.,,
,72,right_power_phase_peak,uint8,[N],,0.7111111,,degrees,,,,,Right power phase peak angles. Data value indexes defined by power_phase_type.,,
,73,enhanced_speed,uint32,,,1000,,m/s,,,,,,,1
,78,enhanced_altitude,uint32,,,5,500,m,,,,,,,1
,81,battery_soc,uint8,,,2,,percent,,,,,lev battery state of charge,,
,82,motor_power,uint16,,,,,watts,,,,,lev motor power,,
,83,vertical_ratio,uint16,,,100,,percent,,,,,,,
,84,stance_time_balance,uint16,,,100,,percent,,,,,,,
,85,step_length,uint16,,,10,,mm,,,,,,,
,91,absolute_pressure,uint32,,,,,Pa,,,,,Includes atmospheric pressure,,
,92,depth,uint32,,,1000,,m,,,,,0 if above water,,
,93,next_stop_depth,uint32,,,1000,,m,,,,,0 if above water,,
,94,next_stop_time,uint32,,,1,,s,,,,,,,
,95,time_to_surface,uint32,,,1,,s,,,,,,,
,96,ndl_time,uint32,,,1,,s,,,,,,,
,97,cns_load,uint8,,,,,percent,,,,,,,
,98,n2_load,uint16,,,1,,percent,,,,,,,
,99,respiration_rate,uint8,,enhanced_respiration_rate,1,,s,8,,,,,,
,108,enhanced_respiration_rate,uint16,,,100,,Breaths/min,,,,,,,
,114,grit,float32,,,,,,,,,,The grit score estimates how challenging a route could be for a cyclist in terms of time spent going over sharp turns or large grade slopes.,,
,115,flow,float32,,,,,,,,,,The flow score estimates how long distance wise a cyclist deaccelerates over intervals where deacceleration is unnecessary such as smooth turns or small grade angle intervals.,,
,117,ebike_travel_range,uint16,,,,,km,,,,,,,
,118,ebike_battery_level,uint8,,,,,percent,,,,,,,
,119,ebike_assist_mode,uint8,,,,,depends on sensor,,,,,,,
,120,ebike_assist_level_percent,uint8,,,,,percent,,,,,,,
,139,core_temperature,uint16,,,100,,C,,,,,,,
event,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,s,,,,,,,1
,0,event,event,,,,,,,,,,,,1
,1,event_type,event_type,,,,,,,,,,,,1
,2,data16,uint16,,data,,,,16,,,,,,1
,3,data,uint32,,,,,,,,,,,,1
,,timer_trigger,timer_trigger,,,,,,,,event,timer,,,1
,,course_point_index,message_index,,,,,,,,event,course_point,,,1
,,battery_level,uint16,,,1000,,V,,,event,battery,,,1
,,virtual_partner_speed,uint16,,,1000,,m/s,,,event,virtual_partner_pace,,,1
,,hr_high_alert,uint8,,,,,bpm,,,event,hr_high_alert,,,1
,,hr_low_alert,uint8,,,,,bpm,,,event,hr_low_alert,,,1
,,speed_high_alert,uint32,,,1000,,m/s,,,event,speed_high_alert,,,1
,,speed_low_alert,uint32,,,1000,,m/s,,,event,speed_low_alert,,,1
,,cad_high_alert,uint16,,,,,rpm,,,event,cad_high_alert,,,1
,,cad_low_alert,uint16,,,,,rpm,,,event,cad_low_alert,,,1
,,power_high_alert,uint16,,,,,watts,,,event,power_high_alert,,,1
,,power_low_alert,uint16,,,,,watts,,,event,power_low_alert,,,1
,,time_duration_alert,uint32,,,1000,,s,,,event,time_duration_alert,,,1
,,distance_duration_alert,uint32,,,100,,m,,,event,distance_duration_alert,,,1
,,calorie_duration_alert,uint32,,,,,calories,,,event,calorie_duration_alert,,,1
,,fitness_equipment_state,fitness_equipment_state,,,,,,,,event,fitness_equipment,,,1
,,sport_point,uint32,,"score,opponent_score","1,1",,,"16,16",,event,sport_point,,,1
,,gear_change_data,uint32,,"rear_gear_num,rear_gear,front_gear_num,front_gear","1,1,1,1",,,"8,8,8,8",,"event,event","front_gear_change,rear_gear_change",,,1
,,rider_position,rider_position_type,,,,,,,,event,rider_position_change,Indicates the rider position value.,,
,,comm_timeout,comm_timeout_type,,,,,,,,event,comm_timeout,,,
,,radar_threat_alert,uint32,,"radar_threat_level_max,radar_threat_count,radar_threat_avg_approach_speed,radar_threat_max_approach_speed","1,1,10,10",,,"8,8,8,8",,event,radar_threat_alert,"The first byte is the radar_threat_level_max, the second byte is the radar_threat_count, third bytes is the average approach speed, and the 4th byte is the max approach speed",,
,4,event_group,uint8,,,,,,,,,,,,1
,7,score,uint16,,,,,,,,,,Do not populate directly. Autogenerated by decoder for sport_point subfield components,,1
,8,opponent_score,uint16,,,,,,,,,,Do not populate directly. Autogenerated by decoder for sport_point subfield components,,1
,9,front_gear_num,uint8z,,,,,,,,,,Do not populate directly. Autogenerated by decoder for gear_change subfield components. Front gear number. 1 is innermost.,,1
,10,front_gear,uint8z,,,,,,,,,,Do not populate directly. Autogenerated by decoder for gear_change subfield components. Number of front teeth.,,1
,11,rear_gear_num,uint8z,,,,,,,,,,Do not populate directly. Autogenerated by decoder for gear_change subfield components. Rear gear number. 1 is innermost.,,1
,12,rear_gear,uint8z,,,,,,,,,,Do not populate directly. Autogenerated by decoder for gear_change subfield components. Number of rear teeth.,,1
,13,device_index,device_index,,,,,,,,,,,,
,21,radar_threat_level_max,radar_threat_level_type,,,,,,,,,,Do not populate directly. Autogenerated by decoder for threat_alert subfield components.,,1
,22,radar_threat_count,uint8,,,,,,,,,,Do not populate directly. Autogenerated by decoder for threat_alert subfield components.,,1
,23,radar_threat_avg_approach_speed,uint8,,,10,,m/s,,,,,Do not populate directly. Autogenerated by decoder for radar_threat_alert subfield components,,
,24,radar_threat_max_approach_speed,uint8,,,10,,m/s,,,,,Do not populate directly. Autogenerated by decoder for radar_threat_alert subfield components,,
device_info,,,,,,,,,,,,,,,
