Type Name,Base Type,Value Name,Value,Comment
file,enum,,,
,,device,1,"Read only, single file. Must be in root directory."
,,settings,2,"Read/write, single file. Directory=Settings"
,,sport,3,"Read/write, multiple files, file number = sport type. Directory=Sports"
,,activity,4,"Read/erase, multiple files. Directory=Activities"
,,workout,5,"Read/write/erase, multiple files. Directory=Workouts"
,,course,6,"Read/write/erase, multiple files. Directory=Courses"
,,schedules,7,"Read/write, single file. Directory=Schedules"
,,weight,9,"Read only, single file. Circular buffer. All message definitions at start of file. Directory=Weight"
,,totals,10,"Read only, single file. Directory=Totals"
,,goals,11,"Read/write, single file. Directory=Goals"
,,blood_pressure,14,Read only. Directory=Blood Pressure
,,monitoring_a,15,Read only. Directory=Monitoring. File number=sub type.
,,activity_summary,20,"Read/erase, multiple files. Directory=Activities"
,,monitoring_daily,28,
,,monitoring_b,32,Read only. Directory=Monitoring. File number=identifier
,,segment,34,Read/write/erase. Multiple Files. Directory=Segments
,,segment_list,35,Read/write/erase. Single File. Directory=Segments
,,exd_configuration,40,Read/write/erase. Single File. Directory=Settings
,,mfg_range_min,0xF7,0xF7 - 0xFE reserved for manufacturer specific file types
,,mfg_range_max,0xFE,0xF7 - 0xFE reserved for manufacturer specific file types
mesg_num,uint16,,,
,,file_id,0,
,,capabilities,1,
,,device_settings,2,
,,user_profile,3,
,,hrm_profile,4,
,,sdm_profile,5,
,,bike_profile,6,
,,zones_target,7,
,,hr_zone,8,
,,power_zone,9,
,,met_zone,10,
,,sport,12,
,,goal,15,
,,session,18,
,,lap,19,
,,record,20,
,,event,21,
,,device_info,23,
,,workout,26,
,,workout_step,27,
,,schedule,28,
,,weight_scale,30,
,,course,31,
,,course_point,32,
,,totals,33,
,,activity,34,
,,software,35,
,,file_capabilities,37,
,,mesg_capabilities,38,
,,field_capabilities,39,
,,file_creator,49,
,,blood_pressure,51,
,,speed_zone,53,
,,monitoring,55,
,,training_file,72,
,,hrv,78,
,,ant_rx,80,
,,ant_tx,81,
,,ant_channel_id,82,
,,length,101,
,,monitoring_info,103,
,,pad,105,
,,slave_device,106,
,,connectivity,127,
,,weather_conditions,128,
,,weather_alert,129,
,,cadence_zone,131,
,,hr,132,
,,segment_lap,142,
,,memo_glob,145,
,,segment_id,148,
,,segment_leaderboard_entry,149,
,,segment_point,150,
,,segment_file,151,
,,workout_session,158,
,,watchface_settings,159,
,,gps_metadata,160,
,,camera_event,161,
,,timestamp_correlation,162,
,,gyroscope_data,164,
,,accelerometer_data,165,
,,three_d_sensor_calibration,167,
,,video_frame,169,
,,obdii_data,174,
,,nmea_sentence,177,
,,aviation_attitude,178,
,,video,184,
,,video_title,185,
,,video_description,186,
,,video_clip,187,
,,ohr_settings,188,
,,exd_screen_configuration,200,
,,exd_data_field_configuration,201,
,,exd_data_concept_configuration,202,
,,field_description,206,
,,developer_data_id,207,
,,magnetometer_data,208,
,,barometer_data,209,
,,one_d_sensor_calibration,210,
,,time_in_zone,216,
,,set,225,
,,stress_level,227,
,,dive_settings,258,
,,dive_gas,259,
,,dive_alarm,262,
,,exercise_title,264,
,,dive_summary,268,
,,jump,285,
,,split,312,
,,climb_pro,317,
,,device_aux_battery_info,375,
,,mfg_range_min,0xFF00,0xFF00 - 0xFFFE reserved for manufacturer specific messages
,,mfg_range_max,0xFFFE,0xFF00 - 0xFFFE reserved for manufacturer specific messages
checksum,uint8,,,
,,clear,0,Allows clear of checksum for flash memory where can only write 1 to 0 without erasing sector.
,,ok,1,Set to mark checksum as valid if computes to invalid values 0 or 0xFF. Checksum can also be set to ok to save encoding computation time.
file_flags,uint8z,,,
,,read,0x02,
,,write,0x04,
,,erase,0x08,
mesg_count,enum,,,
,,num_per_file,0,
,,max_per_file,1,
,,max_per_file_type,2,
date_time,uint32,,,seconds since UTC 00:00 Dec 31 1989
,,min,0x10000000,if date_time is < 0x10000000 then it is system time (seconds from device power on)
local_date_time,uint32,,,seconds since 00:00 Dec 31 1989 in local time zone
,,min,0x10000000,if date_time is < 0x10000000 then it is system time (seconds from device power on)
message_index,uint16,,,
,,selected,0x8000,message is selected if set
,,reserved,0x7000,reserved (default 0)
,,mask,0x0FFF,index
device_index,uint8,,,
,,creator,0,Creator of the file is always device index 0.
gender,enum,,,
,,female,0,
,,male,1,
language,enum,,,
,,english,0,
,,french,1,
,,italian,2,
,,german,3,
,,spanish,4,
,,croatian,5,
,,czech,6,
,,danish,7,
,,dutch,8,
,,finnish,9,
,,greek,10,
,,hungarian,11,
,,norwegian,12,
,,polish,13,
,,portuguese,14,
,,slovakian,15,
,,slovenian,16,
,,swedish,17,
,,russian,18,
,,turkish,19,
,,latvian,20,
,,ukrainian,21,
,,arabic,22,
,,farsi,23,
,,bulgarian,24,
,,romanian,25,
,,chinese,26,
,,japanese,27,
,,korean,28,
,,taiwanese,29,
,,thai,30,
,,hebrew,31,
,,brazilian_portuguese,32,
,,indonesian,33,
,,malaysian,34,
,,vietnamese,35,
,,burmese,36,
,,mongolian,37,
,,custom,254,
language_bits_0,uint8z,,,Bit field corresponding to language enum type (1 << language).
,,english,0x01,
,,french,0x02,
,,italian,0x04,
,,german,0x08,
,,spanish,0x10,
,,croatian,0x20,
,,czech,0x40,
,,danish,0x80,
language_bits_1,uint8z,,,
,,dutch,0x01,
,,finnish,0x02,
,,greek,0x04,
,,hungarian,0x08,
,,norwegian,0x10,
,,polish,0x20,
,,portuguese,0x40,
,,slovakian,0x80,
language_bits_2,uint8z,,,
,,slovenian,0x01,
,,swedish,0x02,
,,russian,0x04,
,,turkish,0x08,
,,latvian,0x10,
,,ukrainian,0x20,
,,arabic,0x40,
,,farsi,0x80,
language_bits_3,uint8z,,,
,,bulgarian,0x01,
,,romanian,0x02,
,,chinese,0x04,
,,japanese,0x08,
,,korean,0x10,
,,taiwanese,0x20,
,,thai,0x40,
,,hebrew,0x80,
language_bits_4,uint8z,,,
,,brazilian_portuguese,0x01,
,,indonesian,0x02,
,,malaysian,0x04,
,,vietnamese,0x08,
,,burmese,0x10,
,,mongolian,0x20,
time_zone,enum,,,
,,almaty,0,
,,bangkok,1,
,,bombay,2,
,,brasilia,3,
,,cairo,4,
,,cape_verde_is,5,
,,darwin,6,
,,eniwetok,7,
,,fiji,8,
,,hong_kong,9,
,,islamabad,10,
,,kabul,11,
,,magadan,12,
,,mid_atlantic,13,
,,moscow,14,
,,muscat,15,
,,newfoundland,16,
,,samoa,17,
,,sydney,18,
,,tehran,19,
,,tokyo,20,
,,us_alaska,21,
,,us_atlantic,22,
,,us_central,23,
,,us_eastern,24,
,,us_hawaii,25,
,,us_mountain,26,
,,us_pacific,27,
,,other,28,
,,auckland,29,
,,kathmandu,30,
,,europe_western_wet,31,
,,europe_central_cet,32,
,,europe_eastern_eet,33,
,,jakarta,34,
,,perth,35,
,,adelaide,36,
,,brisbane,37,
,,tasmania,38,
,,iceland,39,
,,amsterdam,40,
,,athens,41,
,,barcelona,42,
,,berlin,43,
,,brussels,44,
,,budapest,45,
,,copenhagen,46,
,,dublin,47,
,,helsinki,48,
,,lisbon,49,
,,london,50,
,,madrid,51,
,,munich,52,
,,oslo,53,
,,paris,54,
,,prague,55,
,,reykjavik,56,
,,rome,57,
,,stockholm,58,
,,vienna,59,
,,warsaw,60,
,,zurich,61,
,,quebec,62,
,,ontario,63,
,,manitoba,64,
,,saskatchewan,65,
,,alberta,66,
,,british_columbia,67,
,,boise,68,
,,boston,69,
,,chicago,70,
,,dallas,71,
,,denver,72,
,,kansas_city,73,
,,las_vegas,74,
,,los_angeles,75,
,,miami,76,
,,minneapolis,77,
,,new_york,78,
,,new_orleans,79,
,,phoenix,80,
,,santa_fe,81,
,,seattle,82,
,,washington_dc,83,
,,us_arizona,84,
,,chita,85,
,,ekaterinburg,86,
,,irkutsk,87,
,,kaliningrad,88,
,,krasnoyarsk,89,
,,novosibirsk,90,
,,petropavlovsk_kamchatskiy,91,
,,samara,92,
,,vladivostok,93,
,,mexico_central,94,
,,mexico_mountain,95,
,,mexico_pacific,96,
,,cape_town,97,
,,winkhoek,98,
,,lagos,99,
,,riyahd,100,
,,venezuela,101,
,,australia_lh,102,
,,santiago,103,
,,manual,253,
,,automatic,254,
display_measure,enum,,,
,,metric,0,
,,statute,1,
,,nautical,2,
display_heart,enum,,,
,,bpm,0,
,,max,1,
,,reserve,2,
display_power,enum,,,
,,watts,0,
,,percent_ftp,1,
display_position,enum,,,
,,degree,0,dd.dddddd
,,degree_minute,1,dddmm.mmm
,,degree_minute_second,2,dddmmss
,,austrian_grid,3,Austrian Grid (BMN)
,,british_grid,4,British National Grid
,,dutch_grid,5,Dutch grid system
,,hungarian_grid,6,Hungarian grid system
,,finnish_grid,7,Finnish grid system Zone3 KKJ27
,,german_grid,8,Gausss Krueger (German)
,,icelandic_grid,9,Icelandic Grid
,,indonesian_equatorial,10,Indonesian Equatorial LCO
,,indonesian_irian,11,Indonesian Irian LCO
,,indonesian_southern,12,Indonesian Southern LCO
,,india_zone_0,13,India zone 0
,,india_zone_IA,14,India zone IA
,,india_zone_IB,15,India zone IB
,,india_zone_IIA,16,India zone IIA
,,india_zone_IIB,17,India zone IIB
,,india_zone_IIIA,18,India zone IIIA
,,india_zone_IIIB,19,India zone IIIB
,,india_zone_IVA,20,India zone IVA
,,india_zone_IVB,21,India zone IVB
,,irish_transverse,22,Irish Transverse Mercator
,,irish_grid,23,Irish Grid
,,loran,24,Loran TD
,,maidenhead_grid,25,Maidenhead grid system
,,mgrs_grid,26,MGRS grid system
,,new_zealand_grid,27,New Zealand grid system
,,new_zealand_transverse,28,New Zealand Transverse Mercator
,,qatar_grid,29,Qatar National Grid
,,modified_swedish_grid,30,Modified RT-90 (Sweden)
,,swedish_grid,31,RT-90 (Sweden)
,,south_african_grid,32,South African Grid
,,swiss_grid,33,Swiss CH-1903 grid
,,taiwan_grid,34,Taiwan Grid
,,united_states_grid,35,United States National Grid
,,utm_ups_grid,36,UTM/UPS grid system
,,west_malayan,37,West Malayan RSO
,,borneo_rso,38,Borneo RSO
,,estonian_grid,39,Estonian grid system
,,latvian_grid,40,Latvian Transverse Mercator
,,swedish_ref_99_grid,41,Reference Grid 99 TM (Swedish)
switch,enum,,,
,,off,0,
,,on,1,
,,auto,2,
sport,enum,,,
,,generic,0,
,,running,1,
,,cycling,2,
,,transition,3,Mulitsport transition
,,fitness_equipment,4,
,,swimming,5,
,,basketball,6,
,,soccer,7,
,,tennis,8,
,,american_football,9,
,,training,10,
,,walking,11,
,,cross_country_skiing,12,
,,alpine_skiing,13,
,,snowboarding,14,
,,rowing,15,
,,mountaineering,16,
,,hiking,17,
,,multisport,18,
,,paddling,19,
,,flying,20,
,,e_biking,21,
,,motorcycling,22,
,,boating,23,
,,driving,24,
,,golf,25,
,,hang_gliding,26,
,,horseback_riding,27,
,,hunting,28,
,,fishing,29,
,,inline_skating,30,
,,rock_climbing,31,
,,sailing,32,
,,ice_skating,33,
,,sky_diving,34,
,,snowshoeing,35,
,,snowmobiling,36,
,,stand_up_paddleboarding,37,
,,surfing,38,
,,wakeboarding,39,
,,water_skiing,40,
,,kayaking,41,
,,rafting,42,
,,windsurfing,43,
,,kitesurfing,44,
,,tactical,45,
,,jumpmaster,46,
,,boxing,47,
,,floor_climbing,48,
,,diving,53,
,,racket,64,
,,water_tubing,76,
,,wakesurfing,77,
,,all,254,All is for goals only to include all sports.
sport_bits_0,uint8z,,,Bit field corresponding to sport enum type (1 << sport).
,,generic,0x01,
,,running,0x02,
,,cycling,0x04,
,,transition,0x08,Mulitsport transition
,,fitness_equipment,0x10,
,,swimming,0x20,
,,basketball,0x40,
,,soccer,0x80,
sport_bits_1,uint8z,,,Bit field corresponding to sport enum type (1 << (sport-8)).
,,tennis,0x01,
,,american_football,0x02,
,,training,0x04,
,,walking,0x08,
,,cross_country_skiing,0x10,
,,alpine_skiing,0x20,
,,snowboarding,0x40,
,,rowing,0x80,
sport_bits_2,uint8z,,,Bit field corresponding to sport enum type (1 << (sport-16)).
,,mountaineering,0x01,
,,hiking,0x02,
,,multisport,0x04,
,,paddling,0x08,
,,flying,0x10,
,,e_biking,0x20,
,,motorcycling,0x40,
,,boating,0x80,
sport_bits_3,uint8z,,,Bit field corresponding to sport enum type (1 << (sport-24)).
,,driving,0x01,
,,golf,0x02,
,,hang_gliding,0x04,
,,horseback_riding,0x08,
,,hunting,0x10,
,,fishing,0x20,
,,inline_skating,0x40,
,,rock_climbing,0x80,
sport_bits_4,uint8z,,,Bit field corresponding to sport enum type (1 << (sport-32)).
,,sailing,0x01,
,,ice_skating,0x02,
,,sky_diving,0x04,
,,snowshoeing,0x08,
,,snowmobiling,0x10,
,,stand_up_paddleboarding,0x20,
,,surfing,0x40,
,,wakeboarding,0x80,
sport_bits_5,uint8z,,,Bit field corresponding to sport enum type (1 << (sport-40)).
,,water_skiing,0x01,
,,kayaking,0x02,
,,rafting,0x04,
,,windsurfing,0x08,
,,kitesurfing,0x10,
,,tactical,0x20,
,,jumpmaster,0x40,
,,boxing,0x80,
sport_bits_6,uint8z,,,Bit field corresponding to sport enum type (1 << (sport-48)).
,,floor_climbing,0x01,
sub_sport,enum,,,
,,generic,0,
,,treadmill,1,Run/Fitness Equipment
,,street,2,Run
,,trail,3,Run
,,track,4,Run
,,spin,5,Cycling
,,indoor_cycling,6,Cycling/Fitness Equipment
,,road,7,Cycling
,,mountain,8,Cycling
,,downhill,9,Cycling
,,recumbent,10,Cycling
,,cyclocross,11,Cycling
,,hand_cycling,12,Cycling
,,track_cycling,13,Cycling
,,indoor_rowing,14,Fitness Equipment
,,elliptical,15,Fitness Equipment
,,stair_climbing,16,Fitness Equipment
,,lap_swimming,17,Swimming
,,open_water,18,Swimming
,,flexibility_training,19,Training
,,strength_training,20,Training
,,warm_up,21,Tennis
,,match,22,Tennis
,,exercise,23,Tennis
,,challenge,24,
,,indoor_skiing,25,Fitness Equipment
,,cardio_training,26,Training
,,indoor_walking,27,Walking/Fitness Equipment
,,e_bike_fitness,28,E-Biking
,,bmx,29,Cycling
,,casual_walking,30,Walking
,,speed_walking,31,Walking
,,bike_to_run_transition,32,Transition
,,run_to_bike_transition,33,Transition
,,swim_to_bike_transition,34,Transition
,,atv,35,Motorcycling
,,motocross,36,Motorcycling
,,backcountry,37,Alpine Skiing/Snowboarding
,,resort,38,Alpine Skiing/Snowboarding
,,rc_drone,39,Flying
,,wingsuit,40,Flying
,,whitewater,41,Kayaking/Rafting
,,skate_skiing,42,Cross Country Skiing
,,yoga,43,Training
,,pilates,44,Fitness Equipment
,,indoor_running,45,Run
,,gravel_cycling,46,Cycling
,,e_bike_mountain,47,Cycling
,,commuting,48,Cycling
,,mixed_surface,49,Cycling
,,navigate,50,
,,track_me,51,
,,map,52,
,,single_gas_diving,53,Diving
,,multi_gas_diving,54,Diving
,,gauge_diving,55,Diving
,,apnea_diving,56,Diving
,,apnea_hunting,57,Diving
,,virtual_activity,58,
,,obstacle,59,"Used for events where participants run, crawl through mud, climb over walls, etc."
,,breathing,62,
,,sail_race,65,Sailing
,,ultra,67,Ultramarathon
,,indoor_climbing,68,Climbing
,,bouldering,69,Climbing
,,pickleball,84,Racket
,,padel,85,Racket
,,all,254,
sport_event,enum,,,
,,uncategorized,0,
,,geocaching,1,
,,fitness,2,
,,recreation,3,
,,race,4,
,,special_event,5,
,,training,6,
,,transportation,7,
,,touring,8,
activity,enum,,,
,,manual,0,
,,auto_multi_sport,1,
intensity,enum,,,
,,active,0,
,,rest,1,
,,warmup,2,
,,cooldown,3,
,,recovery,4,
,,interval,5,
,,other,6,
session_trigger,enum,,,
,,activity_end,0,
,,manual,1,User changed sport.
,,auto_multi_sport,2,Auto multi-sport feature is enabled and user pressed lap button to advance session.
,,fitness_equipment,3,Auto sport change caused by user linking to fitness equipment.
autolap_trigger,enum,,,
,,time,0,
,,distance,1,
,,position_start,2,
,,position_lap,3,
,,position_waypoint,4,
,,position_marked,5,
,,off,6,
lap_trigger,enum,,,
,,manual,0,
,,time,1,
,,distance,2,
,,position_start,3,
,,position_lap,4,
,,position_waypoint,5,
,,position_marked,6,
,,session_end,7,
,,fitness_equipment,8,
time_mode,enum,,,
,,hour12,0,
,,hour24,1,Does not use a leading zero and has a colon
,,military,2,Uses a leading zero and does not have a colon
,,hour_12_with_seconds,3,
,,hour_24_with_seconds,4,
,,utc,5,
backlight_mode,enum,,,
,,off,0,
,,manual,1,
,,key_and_messages,2,
,,auto_brightness,3,
,,smart_notifications,4,
,,key_and_messages_night,5,
,,key_and_messages_and_smart_notifications,6,
date_mode,enum,,,
,,day_month,0,
,,month_day,1,
backlight_timeout,uint8,,,Timeout in seconds.
,,infinite,0,Backlight stays on forever.
event,enum,,,
,,timer,0,Group 0. Start / stop_all
,,workout,3,start / stop
,,workout_step,4,Start at beginning of workout. Stop at end of each step.
,,power_down,5,stop_all group 0
,,power_up,6,stop_all group 0
,,off_course,7,start / stop group 0
,,session,8,Stop at end of each session.
,,lap,9,Stop at end of each lap.
,,course_point,10,marker
,,battery,11,marker
,,virtual_partner_pace,12,"Group 1. Start at beginning of activity if VP enabled, when VP pace is changed during activity or VP enabled mid activity. stop_disable when VP disabled."
,,hr_high_alert,13,Group 0. Start / stop when in alert condition.
,,hr_low_alert,14,Group 0. Start / stop when in alert condition.
,,speed_high_alert,15,Group 0. Start / stop when in alert condition.
,,speed_low_alert,16,Group 0. Start / stop when in alert condition.
,,cad_high_alert,17,Group 0. Start / stop when in alert condition.
,,cad_low_alert,18,Group 0. Start / stop when in alert condition.
,,power_high_alert,19,Group 0. Start / stop when in alert condition.
,,power_low_alert,20,Group 0. Start / stop when in alert condition.
,,recovery_hr,21,marker
,,battery_low,22,marker
,,time_duration_alert,23,Group 1. Start if enabled mid activity (not required at start of activity). Stop when duration is reached. stop_disable if disabled.
,,distance_duration_alert,24,Group 1. Start if enabled mid activity (not required at start of activity). Stop when duration is reached. stop_disable if disabled.
,,calorie_duration_alert,25,Group 1. Start if enabled mid activity (not required at start of activity). Stop when duration is reached. stop_disable if disabled.
,,activity,26,Group 1.. Stop at end of activity.
,,fitness_equipment,27,marker
,,length,28,Stop at end of each length.
,,user_marker,32,marker
,,sport_point,33,marker
,,calibration,36,start/stop/marker
,,front_gear_change,42,marker
,,rear_gear_change,43,marker
,,rider_position_change,44,marker
,,elev_high_alert,45,Group 0. Start / stop when in alert condition.
,,elev_low_alert,46,Group 0. Start / stop when in alert condition.
,,comm_timeout,47,marker
,,radar_threat_alert,75,start/stop/marker
event_type,enum,,,
,,start,0,
,,stop,1,
,,consecutive_depreciated,2,
,,marker,3,
,,stop_all,4,
,,begin_depreciated,5,
,,end_depreciated,6,
,,end_all_depreciated,7,
,,stop_disable,8,
,,stop_disable_all,9,
timer_trigger,enum,,,timer event data
,,manual,0,
,,auto,1,
,,fitness_equipment,2,
fitness_equipment_state,enum,,,fitness equipment event data
,,ready,0,
,,in_use,1,
,,paused,2,
,,unknown,3,lost connection to fitness equipment
tone,enum,,,
,,off,0,
,,tone,1,
,,vibrate,2,
,,tone_and_vibrate,3,
autoscroll,enum,,,
,,none,0,
,,slow,1,
,,medium,2,
,,fast,3,
activity_class,enum,,,
,,level,0x7F,0 to 100
,,level_max,100,
,,athlete,0x80,
hr_zone_calc,enum,,,
,,custom,0,
,,percent_max_hr,1,
,,percent_hrr,2,
,,percent_lthr,3,
pwr_zone_calc,enum,,,
,,custom,0,
,,percent_ftp,1,
wkt_step_duration,enum,,,
,,time,0,
,,distance,1,
,,hr_less_than,2,
,,hr_greater_than,3,
,,calories,4,
,,open,5,
,,repeat_until_steps_cmplt,6,
,,repeat_until_time,7,
,,repeat_until_distance,8,
,,repeat_until_calories,9,
,,repeat_until_hr_less_than,10,
,,repeat_until_hr_greater_than,11,
,,repeat_until_power_less_than,12,
,,repeat_until_power_greater_than,13,
,,power_less_than,14,
,,power_greater_than,15,
,,training_peaks_tss,16,
,,repeat_until_power_last_lap_less_than,17,
,,repeat_until_max_power_last_lap_less_than,18,
,,power_3s_less_than,19,
,,power_10s_less_than,20,
,,power_30s_less_than,21,
,,power_3s_greater_than,22,
,,power_10s_greater_than,23,
,,power_30s_greater_than,24,
,,power_lap_less_than,25,
,,power_lap_greater_than,26,
,,repeat_until_training_peaks_tss,27,
,,repetition_time,28,
,,reps,29,
,,time_only,31,
wkt_step_target,enum,,,
,,speed,0,
,,heart_rate,1,
,,open,2,
,,cadence,3,
,,power,4,
,,grade,5,
,,resistance,6,
,,power_3s,7,
,,power_10s,8,
,,power_30s,9,
,,power_lap,10,
,,swim_stroke,11,
,,speed_lap,12,
,,heart_rate_lap,13,
goal,enum,,,
,,time,0,
,,distance,1,
,,calories,2,
,,frequency,3,
,,steps,4,
,,ascent,5,
,,active_minutes,6,
goal_recurrence,enum,,,
,,off,0,
,,daily,1,
,,weekly,2,
,,monthly,3,
,,yearly,4,
,,custom,5,
goal_source,enum,,,
,,auto,0,Device generated
,,community,1,Social network sourced goal
,,user,2,Manually generated
schedule,enum,,,
,,workout,0,
,,course,1,
course_point,enum,,,
,,generic,0,
,,summit,1,
,,valley,2,
,,water,3,
,,food,4,
,,danger,5,
,,left,6,
,,right,7,
,,straight,8,
,,first_aid,9,
,,fourth_category,10,
,,third_category,11,
,,second_category,12,
,,first_category,13,
,,hors_category,14,
,,sprint,15,
,,left_fork,16,
,,right_fork,17,
,,middle_fork,18,
,,slight_left,19,
,,sharp_left,20,
,,slight_right,21,
,,sharp_right,22,
,,u_turn,23,
,,segment_start,24,
,,segment_end,25,
,,campsite,27,
,,aid_station,28,
,,rest_area,29,
,,general_distance,30,Used with UpAhead
,,service,31,
,,energy_gel,32,
,,sports_drink,33,
,,mile_marker,34,
,,checkpoint,35,
,,shelter,36,
,,meeting_spot,37,
,,overlook,38,
,,toilet,39,
,,shower,40,
,,gear,41,
,,sharp_curve,42,
,,steep_incline,43,
,,tunnel,44,
,,bridge,45,
,,obstacle,46,
,,crossing,47,
,,store,48,
,,transition,49,
,,navaid,50,
,,transport,51,
,,alert,52,
,,info,53,
manufacturer,uint16,,,
,,garmin,1,
,,garmin_fr405_antfs,2,Do not use. Used by FR405 for ANTFS man id.
,,zephyr,3,
,,dayton,4,
,,idt,5,
,,srm,6,
,,quarq,7,
,,ibike,8,
,,saris,9,
,,spark_hk,10,
,,tanita,11,
,,echowell,12,
,,dynastream_oem,13,
,,nautilus,14,
,,dynastream,15,
,,timex,16,
,,metrigear,17,
,,xelic,18,
,,beurer,19,
,,cardiosport,20,
,,a_and_d,21,
,,hmm,22,
,,suunto,23,
,,thita_elektronik,24,
,,gpulse,25,
,,clean_mobile,26,
,,pedal_brain,27,
,,peaksware,28,
,,saxonar,29,
,,lemond_fitness,30,
,,dexcom,31,
,,wahoo_fitness,32,
,,octane_fitness,33,
,,archinoetics,34,
,,the_hurt_box,35,
,,citizen_systems,36,
,,magellan,37,
,,osynce,38,
,,holux,39,
,,concept2,40,
,,shimano,41,
,,one_giant_leap,42,
,,ace_sensor,43,
,,brim_brothers,44,
,,xplova,45,
,,perception_digital,46,
,,bf1systems,47,
,,pioneer,48,
,,spantec,49,
,,metalogics,50,
,,4iiiis,51,
,,seiko_epson,52,
,,seiko_epson_oem,53,
,,ifor_powell,54,
,,maxwell_guider,55,
,,star_trac,56,
,,breakaway,57,
,,alatech_technology_ltd,58,
,,mio_technology_europe,59,
,,rotor,60,
,,geonaute,61,
,,id_bike,62,
,,specialized,63,
,,wtek,64,
,,physical_enterprises,65,
,,north_pole_engineering,66,
,,bkool,67,
,,cateye,68,
,,stages_cycling,69,
,,sigmasport,70,
,,tomtom,71,
,,peripedal,72,
,,wattbike,73,
,,moxy,76,
,,ciclosport,77,
,,powerbahn,78,
,,acorn_projects_aps,79,
,,lifebeam,80,
,,bontrager,81,
,,wellgo,82,
,,scosche,83,
,,magura,84,
,,woodway,85,
,,elite,86,
,,nielsen_kellerman,87,
,,dk_city,88,
,,tacx,89,
,,direction_technology,90,
,,magtonic,91,
,,1partcarbon,92,
,,inside_ride_technologies,93,
,,sound_of_motion,94,
,,stryd,95,
,,icg,96,Indoorcycling Group
,,MiPulse,97,
,,bsx_athletics,98,
,,look,99,
,,campagnolo_srl,100,
,,body_bike_smart,101,
,,praxisworks,102,
,,limits_technology,103,Limits Technology Ltd.
,,topaction_technology,104,TopAction Technology Inc.
,,cosinuss,105,
,,fitcare,106,
,,magene,107,
,,giant_manufacturing_co,108,
,,tigrasport,109,Tigrasport
,,salutron,110,
,,technogym,111,
,,bryton_sensors,112,
,,latitude_limited,113,
,,soaring_technology,114,
,,igpsport,115,
,,thinkrider,116,
,,gopher_sport,117,
,,waterrower,118,
,,orangetheory,119,
,,inpeak,120,
,,kinetic,121,
,,johnson_health_tech,122,
,,polar_electro,123,
,,seesense,124,
,,nci_technology,125,
,,iqsquare,126,
,,leomo,127,
,,ifit_com,128,
,,coros_byte,129,
,,versa_design,130,
,,chileaf,131,
,,cycplus,132,
,,gravaa_byte,133,
,,sigeyi,134,
,,coospo,135,
,,geoid,136,
,,bosch,137,
,,kyto,138,
,,kinetic_sports,139,
,,decathlon_byte,140,
,,tq_systems,141,
,,tag_heuer,142,
,,keiser_fitness,143,
,,zwift_byte,144,
,,porsche_ep,145,
,,development,255,
,,healthandlife,257,
,,lezyne,258,
,,scribe_labs,259,
,,zwift,260,
,,watteam,261,
,,recon,262,
,,favero_electronics,263,
,,dynovelo,264,
,,strava,265,
,,precor,266,Amer Sports
,,bryton,267,
,,sram,268,
,,navman,269,MiTAC Global Corporation (Mio Technology)
,,cobi,270,COBI GmbH
,,spivi,271,
,,mio_magellan,272,
,,evesports,273,
,,sensitivus_gauge,274,
,,podoon,275,
,,life_time_fitness,276,
,,falco_e_motors,277,Falco eMotors Inc.
,,minoura,278,
